Nombre,Marca,Clase,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Baterí­a,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua,Número de bodega,Número de estante
secadora,Samsung,Electrodomésticos,5424166,3.900.184.497.670.400,13.548.245.631.779.200,2006,,,,,,,,2,1
audifonos,Bose,Audio,1678425,5.294.763.068.867.700,8.746.935.864.246.700,2008,,,,4G,,,,1,1
cpu,Qualcomm,Fotografía,2509945,4.630.273.096.632.770,13.640.549.710.229.000,2012,,,,,,,,2,5
camara,Panasonic,Audio,8451571,43.772.380.867.584.900,2.898.207.647.723.220,2004,,1080p,,,,,,3,2
tablet,Apple,Electrodomésticos,7860460,784.393.755.221.151,3.234.163.474.742.850,2010,4158.0,,LCD,4G,16GB,,,2,6
smart watch,Fitbit,Fotografía,8873275,19.476.311.563.260.100,7.854.099.757.299.080,2008,8541.0,,LED,5G,,,IP68,1,5
cpu,Qualcomm,Audioportátil,3954233,30.684.880.573.241.400,1.784.186.328.156.880,2016,,,,,,,,3,1
celular,Xiaomi,Monitores,1278017,22.113.396.666.315.300,3.634.028.784.007.530,2010,,,,,,1TB,IP68,1,3
tablet,Samsung,Informática,7366923,16.210.263.571.534.800,50.076.568.638.965.700,2013,,,,Bluetooth,16GB,64GB,,2,4
nevera,Whirlpool,Videojuegos,3847859,31.711.156.987.362.100,1.657.249.534.256.820,2014,,,,,,,,3,7
televisores,LG,Monitores,5497656,5.338.394.830.879.880,10.232.774.374.867.800,2021,,1080p,OLED,,,,,1,9
celular,Apple,Audioportátil,2660173,384.114.070.303.494,3.066.151.124.829.870,2015,,,,NFC,32GB,256GB,None,2,4
lavadora,Whirlpool,Videojuegos,5320602,8.475.008.527.600.100,1.475.155.077.514.030,2009,,,,,,,,1,3
celular,Xiaomi,Comunicaciones,3083611,33.760.692.678.753.800,2.893.115.619.618.730,2020,,,,,32GB,512GB,IP68,3,6
monitor,HP,Informática,2389446,3.674.992.683.638.380,50.726.144.382.022.100,2016,,8K,OLED,,,,,3,6
nevera,LG,Wearables,9330655,28.343.367.569.488.600,2.369.071.655.053.440,2005,,,,,,,,3,10
cargador,Belkin,Electrodomésticos,8302340,8.747.519.158.348.240,10.879.058.877.390.600,2002,,,,,,,,2,5
cargador,Apple,Wearables,7186381,25.612.261.906.315.400,6.099.012.740.008.280,2022,,,,,,,,3,9
secadora,Bosch,Audio,4609080,11.821.218.099.368.900,11.568.374.382.572.100,2006,,,,,,,,2,7
televisores,LG,Fotografía,1555467,1.434.212.027.517.330,1.873.068.059.564.680,2022,,4K,LCD,,,,,1,10
parlante,JBL,Monitores,8887359,4.097.135.710.095.680,39.519.396.071.974.200,2009,,,,WiFi,,,,1,10
cpu,AMD,Monitores,214313,47.162.945.411.614.900,10.787.496.721.422.900,2011,,,,,,,,2,7
nevera,Whirlpool,Electrodomésticos,7569106,4.131.770.094.407.780,18.910.253.184.282.300,2006,,,,,,,,1,3
secadora,LG,Fotografía,5215675,4.104.485.775.971.630,11.878.241.593.133.800,2020,,,,,,,,2,2
cpu,Qualcomm,Comunicaciones,8654645,1.651.369.046.478.740,9.344.251.604.443.420,2014,,,,,,,,3,7
camara,Sony,Audio,6665863,4.640.785.175.501.080,3.908.500.730.479.200,2014,,4K,,,,,,1,10
laptop,HP,Comunicaciones,9542162,4.669.493.375.567.340,7.270.369.661.726.240,2015,,,OLED,,32GB,512GB,,1,3
teclado,Corsair,Electrodomésticos,7719300,48.503.445.240.704.100,1.292.277.855.103.650,2011,,,,,,,,2,6
teclado,Corsair,Electrodomésticos,8801689,6.481.345.430.110.440,5.331.155.802.461.490,2001,,,,,,,,2,7
televisores,Sony,Monitores,6579991,4.661.737.678.279.230,13.017.006.967.940.900,2021,,8K,LED,,,,,2,3
camara,Canon,Videojuegos,5443449,4.719.247.236.678.190,3.219.669.553.152.400,2009,,8K,,,,,,2,4
laptop,HP,Wearables,9316352,33.374.382.082.051.600,26.151.496.931.592.600,2008,,,LCD,,4GB,64GB,,3,7
teclado,Corsair,Videojuegos,1007092,35.313.948.326.074.000,19.254.368.937.103.900,2004,,,,,,,,2,3
televisores,TCL,Wearables,3040309,6.470.584.054.216.050,12.094.808.429.936.300,2012,,4K,OLED,,,,,1,3
smart watch,Garmin,Wearables,4308573,2.851.003.345.643.700,6.113.836.372.056.190,2017,5090.0,,,,,,IP68,3,2
camara,Canon,Monitores,6633137,3.692.728.443.292.560,4.519.994.487.516.230,2015,,1080p,,,,,,1,7
televisores,Samsung,Wearables,7571489,456.195.208.290.723,15.003.886.817.280.700,2006,,1080p,LCD,,,,,2,5
monitor,Samsung,Videojuegos,3278099,4.004.234.383.589.800,14.786.626.619.134.000,2020,,8K,OLED,,,,,3,7
parlante,Bose,Electrodomésticos,4516350,40.647.225.126.049.200,18.417.754.564.772.900,2009,,,,4G,,,,1,4
smart watch,Fitbit,Electrodomésticos,2293724,3.264.195.617.848.130,16.498.089.677.208.100,2014,2471.0,,OLED,5G,,,None,1,4
celular,Samsung,Wearables,8020588,28.096.434.953.254.100,31.874.640.306.691.800,2007,4263.0,,,NFC,32GB,,,1,9
tablet,Apple,Audioportátil,9283999,4.467.651.491.063.320,36.454.049.923.651.400,2019,,,,WiFi,8GB,512GB,,3,4
audifonos,Sennheiser,Wearables,2301240,25.436.064.893.773.500,2.795.752.811.586.000,2014,,,,WiFi,,,,1,1
nevera,GE,Audio,6844222,17.180.827.486.673.400,22.737.495.318.038.200,2011,,,,,,,,3,5
lavadora,Whirlpool,Comunicaciones,2022275,2.074.897.910.029.760,13.509.164.311.264.200,2001,,,,,,,,1,10
secadora,Whirlpool,Comunicaciones,7246813,22.781.174.554.882.500,1.482.894.606.529.820,2000,,,,,,,,3,2
televisores,Samsung,Videojuegos,6117994,6.146.270.843.519.700,14.224.399.902.384.800,2017,,1080p,LCD,,,,,2,6
camara,Nikon,Comunicaciones,1257837,2.588.703.129.261.480,234.436.145.930.321,2022,,1080p,,,,,,1,8
lavadora,Whirlpool,Audio,5682503,7.595.907.563.076.900,1.337.844.512.196.910,2015,,,,,,,,2,8
teclado,Logitech,Comunicaciones,9073153,5.605.196.090.325.530,29.247.466.339.978.300,2015,,,,,,,,1,5
tablet,Apple,Audioportátil,7295545,1.833.374.220.597.880,47.163.397.212.980.300,2021,,,,Bluetooth,4GB,512GB,,3,5
secadora,LG,Comunicaciones,6783907,27.243.834.188.064.700,12.904.648.132.142.600,2007,,,,,,,,1,4
